[pTmin, pTmax]; [cosmin, cosmax]: data entries / mc entries
[36, 37]; [-0.05, 0]: 7364 / 1792
[36, 37]; [0, 0.05]: 7060 / 1918
[36, 37]; [0.05, 0.1]: 7171 / 1852
[36, 37]; [0.1, 0.15]: 7133 / 1870
[36, 37]; [0.15, 0.2]: 7235 / 1780
[36, 37]; [0.2, 0.25]: 7314 / 1804
[36, 37]; [0.25, 0.3]: 7235 / 1872
[36, 37]; [0.3, 0.35]: 7240 / 1875
[36, 37]; [0.35, 0.4]: 7416 / 1865
[36, 37]; [0.4, 0.45]: 7666 / 1858
[36, 37]; [0.45, 0.5]: 7642 / 1828
[36, 37]; [0.5, 0.55]: 7696 / 1876
[36, 37]; [0.55, 0.6]: 7814 / 1862
[36, 37]; [0.6, 0.65]: 7875 / 1922
[36, 37]; [0.65, 0.7]: 6179 / 1460
[36, 37]; [0.7, 0.75]: 1156 / 253
[36, 37]; [0.75, 0.8]: 0 / 0
[36, 37]; [0.8, 0.85]: 0 / 0
[36, 37]; [0.85, 0.9]: 0 / 0
[36, 37]; [0.9, 0.95]: 0 / 0
[36, 37]; [0.95, 1]: 0 / 0

[37, 38]; [-1, -0.95]: 0 / 0
[37, 38]; [-0.95, -0.9]: 0 / 0
[37, 38]; [-0.9, -0.85]: 0 / 0
[37, 38]; [-0.85, -0.8]: 0 / 0
[37, 38]; [-0.8, -0.75]: 0 / 0
[37, 38]; [-0.75, -0.7]: 1540 / 378
[37, 38]; [-0.7, -0.65]: 5790 / 1448
[37, 38]; [-0.65, -0.6]: 6928 / 1664
[37, 38]; [-0.6, -0.55]: 6776 / 1692
[37, 38]; [-0.55, -0.5]: 6585 / 1590
[37, 38]; [-0.5, -0.45]: 6464 / 1674
[37, 38]; [-0.45, -0.4]: 6459 / 1610
[37, 38]; [-0.4, -0.35]: 6382 / 1564
[37, 38]; [-0.35, -0.3]: 6321 / 1659
[37, 38]; [-0.3, -0.25]: 6277 / 1553
